Name Ship to,Ship to party,Total Cost,Min,Max
ZAGREBAČKA PIVOVARA - obrada,507138749,1769.7500000000007,43.8,3058.0
ALCA - LOGISTIČKI CENTAR SINJ,507138239,8747.530000000002,0.8,7385.45
ALCA - skladište ZAGREB,507138278,7265.629999999996,0.456,35634.35
WATERMAN MILNA RESORTS - GAVA (SVPE,507138538,809.3299999999999,0.908,995.6
HOTEL RIVA,507138562,301.78000000000003,2.89,214.216
UPRAVA ZA ZATVORSKI SUSTAV,507138327,194.71,418.16,628.372
ELCON - PREHRAMBENI PROIZVODI d.o.o,507139608,135.36,47.8,365.36
KBC SPLIT - PRAONICA,507139345,3022.9599999999996,279.0,2338.6
MEDIKA - Split,507138209,773.7200000000003,3.026,481.546
KAUFLAND ZADAR-SINJORETOVO,507138447,534.78,3.28,130.34
MEDIKA - Osijek,507138212,52.84,56.4,369.222
PRAONICA RUBLJA ŠPALINE (kod ACI ma,507139172,136.38,22.33,200.1
OLYMPUS - KLINIKA ZA PLUĆNE BOLESTI,507138147,18.42,28.01,55.52
MEDIKA -  Rijeka,507138210,1054.8999999999999,5.14,1563.84
MEDIKA d.d.,507138208,1187.3900000000003,5.29,1654.68
ZAGREBAČKA PIVOVARA - puniona,507138748,4237.600000000002,0.03,15095.22
RUS - AUTOCAMP AMARIN,507138776,79.18,64.86,415.75
OBRT ZA TRGOVINU I USLUGE DODO,507139323,496.44000000000005,17.77,719.37
PRAONICA PLAT d.d.,507138517,8057.24,71.288,10407.900000000001
GASTRO - TIM d.o.o.,507139641,646.47,19.05,1224.05
ALCA - skladište Rijeka,507138296,443.69,0.075,81.752
INSTITUT ZA HIGIJENU d.o.o.,507139416,1015.7800000000004,0.85,616.86
PC PRESIDENT,507138416,35.0,1.8,18.36
PRAONICA RUBLJA HISTRIANORUM LAVI,507138507,541.7,41.8,1143.71
PRAONICA RUBLJA HISTRIANORUM LAVI,507139072,1915.3000000000002,0.05,3396.6
ZRAČNA LUKA PULA d.o.o.,507139462,114.33000000000001,212.936,644.804
GALEB 1950 d.o.o.,507139400,1940.1799999999994,17.822,872.1
RUS - SRC LOVORKA,507138795,345.54999999999995,0.12,580.67
RUS - JGL d.d.,507138767,183.51000000000002,0.456,376.12
MASLINA RESORT (TRAJEKTNI TERMINAL),507139675,113.53000000000002,2.3,175.184
KOKA - SKLADIŠTE,507138232,2843.1200000000026,15.48,4213.92
MEDICAL INTERTRADE d.o.o.,507138191,1334.9600000000007,0.5,1810.56
CARLSBERG CROATIA d.o.o.,507138422,3158.5899999999997,0.006,6369.22
HEINEKEN HRVATSKA d.o.o.,507138806,2990.8799999999997,0.026,5071.95
ZDENKA - mliječni proizvodi d.o.o.,507139168,824.98,99.6,1116.0
COCA-COLA * PUNIONICA ZAGREB,507138051,2105.790000000001,0.86,6643.110000000001
KAMPOR MAKS,507289729,1353.45,3.04,8306.35
SPINAKER DUBROVNIK d.o.o.,507139365,1952.7799999999993,71.288,791.88
LAKOVIĆ d.o.o.,507139079,396.32000000000005,77.7,726.7
HOTEL PALACE ELISABETH,507138574,281.76,2.329,184.244
HOTEL PHAROS,507138559,202.35999999999999,5.0,877.598
HOTEL AMFORA,507138558,741.69,0.9,1034.0240000000001
HOTEL BEACH BAY HVAR,507474513,129.06,0.18,110.49
OLYMPUS - OPĆA BOLNICA ZADAR,507138124,262.61,10.59,171.7
DUKAT MP TVORNICA ZAGREB,507138524,817.88,0.069,1401.6
EKO EKSPRES - PUNIONA JAMNICA,507137907,2142.769999999999,0.006,5496.7
HOTEL MORENIA - DOMAĆINSTVO,507139516,40.7,77.08,79.3
HILTON IMPERIAL DUBROVNIK - domaćin,507138578,641.53,0.25,332.309
KAMP SOLARIS (ISTRA LOGISTIKA d.o.o,507139479,192.31,28.58,120.1
SVPETRVS HOTELI - centralno skladiš,507138540,2008.95,4.984,2938.19
HOTEL JADRAN (WOT),507139665,867.6000000000001,1.11,1052.177
SALESIANER MIETTEX Lotos d.o.o.,507138581,3453.4099999999985,0.003,17460.8
OLYMPUS - OPĆA ŽUPA.BOLNICA POŽEGA,507138130,86.88,10.59,62.85
PRAONA d.o.o.,507138621,7444.710000000002,160.398,10728.6
KAUFLAND DUGO SELO,507138356,300.90999999999997,0.86,58.19
KAUFLAND ZAGREB BARUTANSKI JARAK,507138479,315.75,0.45,243.54
KAUFLAND ŠIBENIK,507138362,462.49000000000007,0.228,250.21
KAUFLAND ČAKOVEC,507138307,279.82,3.28,58.509
KAUFLAND ZADAR,507138303,583.8100000000001,0.228,239.0
KAUFLAND ZAGREB JABLANSKA,507138388,465.67000000000013,6.67,115.90899999999999
EUN TEHNIKA ČIŠĆENJE,507139201,322.94,3.87,236.285
KAUFLAND POŽEGA,507138320,524.2,6.67,237.31
KAUFLAND VIROVITICA,507138313,266.64000000000004,0.78,239.56
EMPWR d.o.o.,507139279,1555.8100000000002,9.6,1142.8
VINDIJA - SKL.REPROMATERIJALA,507138057,5123.429999999997,0.325,10407.64
HOTEL DUBROVNIK d.d.,507138046,701.8000000000002,1.824,634.004
SARDINA d.o.o.,507139217,2578.3300000000004,0.289,3476.5
OLYMPUS - CROATIA POLIKLINIKA,507514521,71.7,16.72,81.85
MEDICINA-PROMET d.o.o.,507138196,1946.8600000000008,7.1,2983.1
DUKAT - ZAGREB II (agri),507138528,400.61,199.2,3225.6
OLYMPUS - OPĆA BOLNICA KARLOVAC,507138117,116.61999999999999,10.59,62.35
OLYMPUS - OPĆA BOLNICA ZABOK,507138123,121.10999999999999,10.59,56.02
NOVI HOTELS&RESORT,507139584,181.48000000000002,3.93,228.344
HRVATSKI TELEKOM (Atalian),507138085,252.05,0.6,107.027
HOTEL ADRIANA,507138561,196.51999999999998,3.451,877.559
HOTEL CROATIA - DOMAĆINSTVO,507139743,161.95,2.28,76.32
HOTEL CROATIA - PRAONICA,507139747,1131.4199999999998,22.33,942.008
HOTEL CROATIA - JAVNI PROSTORI,507139745,192.25,4.243,92.86
TURISTHOTEL-PRAONICA RUBLJA,507138333,12844.670000000002,9.687999999999999,16599.55
HOTEL AMPHORA (PLAVI SAFIR d.o.o.),507139137,1915.7899999999997,46.6,717.0
KAMP LANTERNA (ISTRA LOGISTIKA d.o.,507139478,211.05,28.58,174.69
DUKAT MP TVORNICA BJELOVAR,507138525,3633.4699999999993,0.149,8379.0
PRAONICA RUBLJA BIJELA HARMONIJA,507139276,979.0699999999999,248.6,1708.5
Eko ekspres GW skladište,507228129,854.8700000000001,0.07,14908.4
PRAONICA UMAG - MT 7300,507139133,4456.549999999999,0.11,8510.15
HILTON IMPERIAL DUBROVNIK - kuhinja,507138579,531.43,0.25,319.6
3 M d.o.o.,507139327,21.0,0.2,0.4
Praonica rublja Krokoteks,507139144,824.5900000000001,146.7,3926.2
KAUFLAND ZAGREB SLOBOŠTINA,507138444,226.75999999999996,0.86,101.249
KAUFLAND ZAGREB BLATO,507138443,372.98,0.228,161.698
OLYMPUS - KB DUBRAVA,507138105,245.76999999999998,15.942,241.0
OLYMPUS - KBC REBRO,507138110,274.81999999999994,10.59,257.11
HOTELI BAŠKA VODA - CENTRALNO SKLAD,507138494,1150.1099999999997,0.19,503.37
SUNČANI HVAR -skl.,507138557,1390.7099999999998,20.9,1973.3
KAUFLAND BIOGRAD,507138481,486.91,0.228,217.0
AGS GASTRO SISTEMI d.o.o.,507138850,1012.4400000000002,0.045,1576.29
YASENKA - skladište Medical Intertr,507139216,321.67,20.9,478.0
DALBO DARDA,507138354,9442.939999999995,0.3,14420.87
KAUFLAND VINKOVCI,507138321,379.63000000000005,3.28,226.46
KAUFLAND OSIJEK,507138311,664.66,0.228,169.81
OLYMPUS - OPĆA ŽUPA.BOLNICA  VUKOVA,507138122,174.60000000000002,10.59,44.93
KAUFLAND SLAVONSKI BROD,507138310,627.6100000000001,6.67,175.98
KIM MLJEKARA KARLOVAC d.o.o.,507138531,470.51,8.62,1195.35
"NERON Obrt za pranje rublja, vl. Ne",507139218,1559.3000000000002,103.6,1960.48
MEDUZA d.o.o.,507139461,88.53999999999999,12.0,358.5
KAUFLAND UMAG,507138389,420.69,0.228,143.79999999999998
KAUFLAND RIJEKA,507138304,577.65,3.28,218.22
ELBI MEDIKAL - skladište,507138161,167.45000000000002,15.3,238.951
KAUFLAND KOPRIVNICA,507138318,287.74,6.67,240.65
KAUFLAND SISAK,507138305,598.6300000000002,5.19,123.27
KAUFLAND ZABOK,507217093,289.61,6.67,270.707
USLUŽNI OBRT ELBY,507474515,278.37,24.9,558.6
ARENA HOSPITALITY - PRAONICA RUBLJA,507238823,2888.6899999999987,0.472,2419.17
IKEA Hrvatska d.o.o.,507139353,77.0,0.504,22.5
DUBROVAČKI VRTOVI SUNCA d.o.o.,507138803,1668.8300000000006,0.45,3298.06
