Name Ship to,Ship to party,Total Cost,Min,Max
DO & CO International Catering Ltd.,505377745,20908.344,14.2,739.293
AUCHAN MAGYARORSZÁG KFT.,505378351,408570.325,0.38,660.5300000000001
AUCHAN MAGYARORSZÁG KFT.,505378354,533721.5800000001,0.118,704.77
Semmelweis Egyetem Belső Klinikai T,505490706,148425.32700000005,6.4,353.27
BAJAI SZENT  RÓKUS KÓRHÁZ,505377238,100608.30999999998,7.1,264.0
BUNZL MAGYARORSZÁG KFT.,505378335,1691836.1409999996,0.05,7795.478
DELIREST Magyarország Kft.,505377655,239668.96899999998,0.34,206.56
OTTHON ÜZLETHÁZ KFT.,505378479,684598.7200000004,2.3,2195.84
MEDICOVER EGÉSZSÉGKÖZPONT ZRT,505377307,103297.08500000002,2.788,590.414
PRIZMA-Food Szolgáltató Korlátolt F,505379501,6318.468000000001,43.68,189.02
Edelényi Koch Róbert Kórház és,505377517,123886.23099999996,0.0,138.85
DELIREST Magyarország Kft.,505377650,68653.50600000004,2.1,262.416
SAS MAGYARORSZÁG VAGYONKEZELÖ KFT.,505378647,465691.2049999999,0.2,1339.8509999999999
GLOBUS KONZERVIPARI ZRT.,505377569,252242.136,2198.4,4396.8
ZALA MEGYEI SZENT RAFAEL KÓRHÁZ,505377564,163000.782,2.3,767.1
Zala Vármegyei Szent Rafael Kórház,505377563,193025.78599999993,0.0,890.951
Gottsegen György Országos,505842862,63901.65800000004,3.04,60.269999999999996
CSORNAI MARGIT KÓRHÁZ,505377123,23333.961000000003,14.2,110.0
ORSZÁGOS KORÁNYI PULMONOLÓGIAI INTÉ,505377475,62522.69500000002,10.5,111.1
Budapesti Dr. Manninger Jenő Balese,505377305,65013.952000000005,8.0,225.16
Nyíregyházi-Kenyérgyár Kft.,506814159,74324.77200000001,128.4,172.2
ZALA CLEAN KFT,505377739,503910.91800000006,2.925,1580.1
HOTEL CHESSCOM,507375216,428022.8799999999,0.252,29.704
Dél-Budai Centrumkórház-,505377227,73621.01500000004,1.5,99.692
PRIZMA-JUNIOR ZRT.,505378818,70853.112,31.92,554.76
Szakorvosi Rendelőintézet,505377771,7510.764000000001,14.2,42.848
PRIZMA-Food Szolgáltató Kft.,507272474,12354.289000000002,48.83,100.67
DUNA SZÁLLODA ZRT.,505377030,229232.024,0.088,446.55100000000004
IK HOTELS VENDÉGLÁTÓ KFT.,505378931,146808.326,0.43,242.834
DUNA SZÁLLODA ZRT.,505377279,436767.6559999999,0.05,328.869
Arosa Kft. INNOPARK,507195578,34558.293000000005,91.6,216.1
ALFÖLDI TEJ ÉRTÉKESÍTÖ,505378453,3205080.1519999993,0.003,15511.2
DUNA CSILLAGA KFT.,505377693,269491.02799999993,0.86,120.49
NORMAFA IDÖSEK OTTHONA KÖZHASZNÚ,505378526,13173.919,22.774,86.658
Somogy Vármegyei Kaposi Mór Oktató,505377176,260203.17400000014,5.1,340.75
NAGYPR KFT.,505379076,413749.20799999987,0.088,645.4
METRO KERESKEDELMI KFT.,505379091,36844.901000000005,5.15,281.308
PRIZMA-JUNIOR ZRT.,505378802,36650.189000000006,23.0,747.1
AUCHAN MAGYARORSZÁG KFT.,505378355,393020.4819999999,0.0,577.27
Ajkai Magyar Imre Kórház,505377128,144114.39299999995,3.17,264.2
AUCHAN MAGYARORSZÁG KFT.,505378353,901399.1420000002,0.33,773.944
Kistarcsai Flór Ferenc Kórház,505378727,32666.971999999998,2.64,79.2
DELIREST Magyarország Kft.,505377643,432181.57500000007,0.94,531.69
Dunaújvárosi Szent Pantaleon,505377174,64765.609000000004,5.55,52.768
Budapesti Jahn Ferenc Dél-pesti Kór,505377166,101806.79600000003,0.0,319.5
P.DUSSMANN KFT.,505377328,66100.58700000001,5.55,328.15
Jász-Nagykun-Szolnok Vármegyei,505377243,155698.51599999992,6.62,178.542
DELIREST Magyarország Kft.,505377588,156639.60299999997,6.4,184.05
DELIREST Magyarország Kft.,506007166,169703.88899999997,1.76,228.56
Borsod-Abaúj-Zemplén Vármegyei Közp,505377028,655365.2020000003,12.54,799.34
DELIREST Magyarország Kft.,505377590,133966.616,3.05,134.835
PRIZMA-Food Szolgáltató Korlátolt F,505379502,8166.743,25.9,83.25
Kisbéri Batthyány Kázmér Szakkórház,507230730,21700.995000000003,14.2,14.2
Bács-Kiskun Vármegyei Oktatókórház,505377249,122045.567,1.1,321.8
PRIZMA-JUNIOR ZRT.,505378800,229360.158,10.64,423.0
NAGYKUN HÚS KFT.,505378027,650716.5930000001,99.6,2664.4
Biotrans Kft.,505977354,107637.45400000001,1262.4,2524.8
DEBRECENI EGYETEM KLINIKAI KÖZPONT,505377179,450569.8680000001,4.7,810.7
Bács-Kiskun Vármegyei Oktatókórház,505377250,4340.1990000000005,11.1,11.1
Debreceni Egyetem Klinikai Központ,505377261,221824.71799999996,11.38,138.81
Hatvani Albert Schweitzer,505378722,37515.172000000006,16.65,110.0
Tolna Vármegyei Balassa János Kórhá,505377175,170333.25000000003,56.8,585.2
MAGYAR SAJT KFT.,505378668,380689.538,0.0,3838.4
P.DUSSMANN KFT.,505872867,69555.302,36.06,511.05
VASÚTEGÉSZSÉGÜGYI NONPROFIT KÖZHASZ,505378386,5024.1810000000005,5.776,5.776
DOME FACILITY SERVICES KF,505379043,453458.05599999975,6.4,1065.53
Vas Vármegyei Markusovszky Egyetemi,505378723,23040.68,247.59,284.0
Gottsegen György Országos,505377296,5007.176,1.52,25.83
Sugo Food Kft.,505379422,641351.8199999998,0.819,1792.7
Szabolcs-Szatmár-Bereg Vármegyei,505378717,848590.3100000005,1.204,702.4599999999999
DELIREST Magyarország Kft.,505377591,100650.56100000003,5.55,255.35000000000002
NAGY ÉS FIAI KFT,505377701,246427.29600000003,8.08,1996.0600000000002
AUCHAN MAGYARORSZÁG KFT.,505378373,340417.7850000001,0.07,1045.7
HILLTOP NESZMÉLY ZRT.,505379411,29270.446,91.6,298.6
PLAZMASZOLGÁLAT KFT.,505378482,82251.028,1.0,45.39
LESAFFRE MAGYARORSZÁG,505378333,210902.717,1107.5,3362.2
NAGYPR KFT.,505379075,43738.713,23.0,513.684
Dél-Pesti Centrumkórház Országos,505379194,2503.588,3.5,3.5
FRESH CORNER RESTAURANTS KFT.,505378436,84745.76200000002,2.1,184.20999999999998
AUCHAN MAGYARORSZÁG KFT.,505378357,1624402.3240000007,0.384,353.44
