Name Ship to,Ship to party,Total Cost,Min,Max
Firma Zabłocki,500623752,20113.760000000017,0.97,7165.443
Oddział Zakład Produkcji,500624174,65141.08000000001,0.008,16705.386
Centrum Dystrybucyjne Kaufland Roks,502387904,13840.720000000008,2.15,5000.26
Centrum Zaopatrzenia Medycznego „CE,500624642,38707.62000000006,4.31,5884.188
Makchem,503382369,10014.18000000001,0.18,505.58500000000004
Suma Spółka z ograniczoną,503058647,22461.990000000045,0.147,2156.867
Centrum Zaopatrzenia Medycznego,500624415,51352.870000000024,0.08,10327.730000000001
Hurtownia Farmaceutyczna Medifarm,502048863,14941.400000000007,0.025,1551.322
Technetsa Spółka z o.o.,500624441,23609.620000000014,0.588,4105.034
Sutura Med o/Bydgoszcz,500624152,38651.85000000004,3.38,6462.986999999999
Sutura Med o/Szczecin,502316537,70225.50999999994,0.04,7359.187999999999
Sutura Med o/Łódź,500625311,9495.23000000001,0.3,1117.36
Coca-Cola oddział Radzymin,500624287,73047.67000000003,0.1,11996.37
BDS Sp. z o.o.,500624240,13028.689999999995,0.21,2663.715
"MS SERVICE Marcin Siekierka, Tomasz",503387405,16074.479999999985,0.86,6006.937
CHEMEA,502429965,31531.820000000036,0.03,19164.895
Polskie Centrum Czystości,501253607,32600.879999999946,0.033,2649.813
BEWA Sp. z o.o.,502339211,17581.77,8.62,8834.6
Rain Transport AS TALLINNA LADU JA/,502956732,39203.72159999999,26.478,13793.777
